Temple,Status,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,County,State,Postal Code,Country,Phone,
Aba Nigeria Temple,Dedicated,5.147644,7.356719,"5°8'51""N","7°21'24""E",72-80 Okpu-Umuobo Rd,Aba,,Abia State,,Nigeria,(+234) 80-3903-4810,
Abidjan Ivory Coast Temple,Under Construction,5.362307,-3.976865,"5°21'44""N","3°58'36""W",1874 Boulevard de France,Abidjan,,,,Cote d'Ivoire,,
Accra Ghana Temple,Dedicated,5.56749,-0.193706,"5°34'2""N","-0°11'37""E",57 Independence Ave North Ridge P.M.B. CT 209 Cantonments,Accra,,,,Ghana,(+233) 302-650-123,
Adelaide Australia Temple,Dedicated,-34.892473,138.635002,"34°53'32""S","138°38'6""E",53-59 Lower Portrush Rd,Marden,,South Australia,5070,Australia,(+61) 8-8363-8000,
Alabang Philippines Temple,Under Construction,14.412913,121.037838,"14°24'46""N","121°2'16""E",Filinvest Avenue and Corporate Avenue Alabang,Muntinlupa,,Metro Manila,,Philippines,,
Albuquerque New Mexico Temple,Dedicated,35.167684,-106.525301,"35°10'3""N","106°31'31""W",10301 San Francisco Rd NE,Albuquerque,Bernalillo,New Mexico,87122-3437,United States,(+1) 505-822-5110,
Anchorage Alaska Temple,Dedicated,61.101627,-149.840512,"61°6'5""N","149°50'25""W",13161 Brayton Dr,Anchorage,Anchorage Borough,Alaska,99516,United States,(+1) 907-348-7890,
Antananarivo Madagascar Temple,Announced,-18.85393042,47.478333,"18°51'14""S","47°28'41""E",Lot 208 A Fokontany Andranoro Commune Ambohibao Antehiroka,Antananarivo,,,105,Madagascar,,
Antofagasta Chile Temple,Under Construction,-23.571891,-70.394525,"23°34'18""S","70°23'40""W",Avenida de Las Palmeras 44,Antofagasta,,,,Chile,,
Apia Samoa Temple,Dedicated,-13.838064,-171.783034,"13°50'17""S","171°46'58""W",Vaitele Street,Pesega,,Apia,,Samoa,(+685) 64-230,
Arequipa Peru Temple,Dedicated,-16.375203,-71.538477,"16°22'30""S","71°32'18""W",Calle Cusco 380 Carmen Alto Distrito De Cayma,Arequipa,Cayma,Arequipa,,Peru,(+51) 54-640-300,
